question,answer,question_sw,answer_sw
What is menarche,Menarche is the first menstrual period in a female adolescent.,,
At what age do menses usually begin?,"There is no fixed age for menses to begin. Normally, it starts between the age range of 10 to 18 years. The exact age differs for each girl.",,
What happens during menses?,"In adolescence, an egg is produced and the lining of a girl's uterus thickens up to prepare for fertilization. When pregnancy does not occur, this thick lining is shed off, which leads to bleeding. This is referred to as menses.",,
For how long does the bleeding last?,"Bleeding generally lasts for 3-5 days. However, different people experience different numbers of days based on their specific conditions.",,
Is it very painful?,Experiencing mild to moderate pain during menses is common and bearable.,,
What is a sanitary pad?,A sanitary pad is worn inside the underwear and is used to soak the menstrual blood so that it does not spill out.,,
Is it okay to use a cloth instead of a sanitary pad?,"In the past, it was common for women to use cloths instead of sanitary pads. However, in today's times, a cloth should be used only in urgent cases, where a sanitary pad is unavailable.",,
Are sanitary pads too costly?,"No, they are not very costly since different brands exist within different price ranges for you to choose from.",,
Can sanitary pads be availed free of cost?,"Yes, in most Indian cities and even villages, sanitary pads are made available free of cost.",,
What needs to be done after using a sanitary pad?,A sanitary pad is disposable and must be disposed of properly after each use.,,
What is the proper way to dispose of sanitary pads?,"Ideally, the used sanitary pad should be wrapped in paper and disposed of in a dustbin.",,
Can sanitary pads be disposed of in a commode?,"The sewage system cannot disintegrate the material that sanitary pads are composed of. So, used sanitary pads should never be flushed down the toilet or thrown in the commode.",,
How many sanitary pads are required per month?,"Generally, one needs about 2-3 pads per day. So, 15 sanitary pads should be enough for one cycle. However, this can vary for different individuals experiencing specific conditions.",,
How often should sanitary pads be changed during the day?,Sanitary pads must be changed at least 2-3 times a day. This mainly depends on the amount of blood flow.,,
What will happen if I use the same sanitary pad for the entire cycle?,"A single sanitary pad does not have the capacity to absorb the amount of bleeding that occurs during one cycle. Also, using the same sanitary pad for too long is unhygienic and can lead to infections.",,
Is there an alternative to sanitary pads?,"Yes, menstrual cups and tampons can be used as alternatives to sanitary pads.",,
Can a virgin use a menstrual cup?,"Often, it is difficult to insert the menstrual cup inside the vagina. Due to this, virgins typically find it hard to use menstrual cups, although it is not impossible for them to do so.",,
Are menstrual cups reusable?,"Yes, menstrual cups are reusable and extremely sustainable. After each use, you can remove the cup, discard the collected blood, wash and sanitize the cup in warm water, and then reuse it.",,
What is a tampon?,A tampon is small and made up of highly absorbable material. You have to insert it in the vagina for it to absorb menstrual blood.,,
Are tampons reusable?,"No, tampons are not reusable and must be disposed of after each use.",,
What is the proper way to dispose of tampons?,"Ideally, the used tampon should be wrapped in paper and disposed of in a dustbin.",,
How do I take the tampon out of my vagina?,"There is a string attached to each tampon. In order to take the tampon out of the vagina, you need to pull on that string.",,
What will happen if the tampon does not come out?,"A blood-soaked tampon must always be removed and disposed of as soon as possible. If it remains inside the vagina for a long time, it can lead to infections.",,
Do I need training before using a tampon?,"Before using a tampon for the first time, it is better to understand the procedure of its insertion and removal from a gynaecologist, or someone who regularly uses it",,
What should I do if a tampon is stuck inside and its string breaks?,"In such a case, you should immediately visit a gynaecologist. Do not panic. An expert doctor will be able to remove it for you without causing any harm or pain.",,
Why do infections occur if sanitary pads or tampons are not changed/removed?,"The vagina, as well as the entire area around it, has several micro-organisms. Blood is a very good medium for the growth of such micro-organisms. So, if blood-soaked sanitary pads or tampons are left as they are for a long period of time, they can lead to serious infections.",,
What type of food should I eat during menses?,"Take light and easily digestible food. Like, plenty of fruits, liquids, and other things that you eat regularly. Do not go in for eating too oily or heavy to digest food. Stick to basic food groups and take comforting food.",,
What are some rules of hygiene during menses?,Take a bath every day. Change your sanitary napkin frequently as required. This will prevent infections. Wear clean clothes and underwear.,,
Why do elders insist on not having a head bath during menses?,"Pouring water over the head stimulates the glands located in the brain area and it can lead to a higher flow, during the menstrual time, hence, elders insist that we should not have a bath during the menstrual time. However, once the bleeding stops, you can freely take a head bath.",,
What is premenstrual syndrome that people usually talk about?,"Premenstrual syndrome, or PMS, occurs before the period starts, the person starts getting symptoms like headaches, tension, pain in the breasts, nausea, vomiting, bloating feeling, and irritability and this goes away as soon as a period starts.",,
Why does one get premenstrual syndrome?,Premenstrual syndrome typically happens because of hormonal changes. This is very common and is experienced by all women - the symptoms can be mild to severe and vary from person to person. It may last for 2-3 days.,,
What kind of exercise should I do during menses?,One can do light exercise during menses. Avoid heavy exercises or starting a new type of exercise or regime during menses.,,
Can I prepone or postpone my period?,"The period can be preponed or postponed under certain exemplary situations. However, it is not advised to make such decisions to change the dates of your periods because it can lead to heavy flows in the subsequent cycle. If in an exemplary situation, one must take the advice of a qualified doctor.",,
What kind of clothes should be worn during menses?,"Loose comfortable clothes, as per the climatic conditions around you. However, if you are new to periods, my advice would be to stick to darker colors.",,
How can I keep track of my menstrual cycle?,"You can keep track of your cycle by marking the start date of your period on a calendar or in some app on your phone, whatever you are comfortable with. You can associate it with some school/ work event to make it easy to remember the last cycle. It's a good idea to be aware of your menstrual cycle. Not getting a period may not seem like a big thing, but it is important to keep track of your periods...",,
Is it normal for my period to smell?,"Menstrual blood is a mix of blood, vaginal fluids and the cells and fluids from the lining of the uterus This may cause your period to have a distinct odor.",,
What are the common reasons for missed or late periods?,"Pregnancy; hormonal imbalance; stress; climatic conditions like excess heat or too cold. However, some individuals might get delayed periods, which may be normal for them.",,
How much blood do I lose during my period?,You will lose about 50-150ml - between half a cup to 1 cup. The human body has about 5L of blood - so don't worry.,,
When will I stop having my period for good?,"Women get periods until menopause, which is when menstruation and the ability to have children stops. It usually happens in the late 40s or early 50s. But menopause can happen earlier or later, depending on your hormonal level.",,
Am I pregnant if I miss my periods?,"Not necessarily! You can miss your period for many reasons, including infection, nutritional changes, travel, and stress.",,
Why did I bleed for more days in this cycle?,"For many women, the length of their cycle can be affected by lifestyle factors like stress; changes in exercise routine; dieting, gaining or losing weight; illness.",,
Are my painful cramps normal? When should I tell my doctor?,"Cramps are normal - they happen when the mouth of the uterus opens to let the blood out. If you are not able to tolerate them, try hot water bags or hot fermentation, drink plenty of liquids, and rest. If they still continue, please consult a doctor.",,
Is it normal to have periods twice a month?,"For cycles that are 21 days long, it's possible to have a period twice during one calendar month. However, if bleeding twice or more during one menstrual cycle, blood after sex, or bleeding that stops and starts for several days, please consult a doctor.",,
Where is the uterus located?,The uterus is situated in the lower abdomen.,,
Which organs are responsible for menstruation?,The uterus and ovaries are the organs responsible for menstruation.,,
How many ovaries are present in a woman?,Two ovaries are present in a female's body.,,
What is the normal interval between two menstrual cycles?,The normal interval between two menstrual cycles is about 28-30 days.,,
How many eggs are normally released in a month?,Only one egg is normally released in a month.,,
What is a sign of ovulation?,Clear mucous discharge is an evident sign of ovulation.,,
Should I not go to school or work while I am menstruating?,"Sometimes the abdominal pain or cramps experienced during menstruation are so severe that you may prefer a full day of rest, instead of going to school or work and exerting yourself. That being said, if you are not in severe pain or discomfort, there are no restrictions on going to school or work while you are menstruating.",,
What kind of a diet is needed during menstruation?,"During menstruation, it is better to maintain a well-balanced diet with iron-rich foods and green leafy vegetables, since they help combat fatigue and replenish lost blood. Eating bananas helps as they are high in potassium and can help regulate blood pressure and reduce bloating.",,
What are some common pre-menstrual manifestations?,"Some common pre-menstrual manifestations include experiencing weakness and fatigue, headaches or vomiting, as well as cramps or pain in the lower abdominal region.",,
Is it normal for my breasts to feel tighter before starting my period?,"Yes, the fullness and tightness of breasts are common pre-menstrual signs.",,
Why should I wash the perineal area during menstruation?,"The perineal area should always be washed and kept clean during menstruation to prevent infections. It should also be kept dry after washing to prevent bacterial growth, as well as rashes.",,
What should be the bathing pattern during menstruation?,You should have a body bath daily during the menstruation period to prevent infections and maintain good hygiene.,,
How often should a perineal wash be done during menstruation?,Clean the perineal area with lukewarm water 3-4 times a day and with tap water every time after using the toilet. It is not recommended to use soap or any vaginal wash to clean the perineum as it changes the normal pH level of the vagina.,,
How to clean the perineum during menstruation?,The perineum should be cleaned from the front to the back each time during menstruation to prevent the entry of bacteria into the vaginal and urethral openings.,,
"If a cloth is used instead of a sanitary pad, what type of cloth should be used?","If you are using a cloth for menstrual flow then clean, soft cotton cloth must be used. Do not use nylon, silk, or any other rough cloth as it does not absorb the flow and may cause discomfort and rashes.",,
How should the used cloth be washed?,The used cloth must be washed properly with soap and water.,,
How to dry the washed cloth during menstruation?,The washed cloth must be dried in sunlight and not kept indoors or in a dark room.,,
Is it normal to gain weight during menstruation?,"Yes. Usually, there is some weight gain during the menstruation period.",,
Which lining of the uterus sheds during menstruation?,"The uterus has three linings, which are perimetrium, myometrium, and endometrium. The endometrium lining of the uterus sheds during menstruation.",,
Which hormones are involved in the menstruation process?,Estrogen and progesterone are two main hormones that are involved in the menstruation process.,,
How should I clean the vagina during menstruation?,"You should clean the vagina with plain, warm water. The vagina is self-cleaning so there is no need to use soaps, scented washes, lotions, etc.",,
Can I cook food during menstruation?,"Absolutely! This is an old myth and in reality, there are no restrictions to your daily activities when you are menstruating. If you are in a lot of pain, you can take a break from cooking. However, there is nothing against cooking while you are on your period.",,
Can I go to any places of worship when I am menstruating?,"Yes, there is no restriction on going to places of worship when you are menstruating. This is an old myth and you don't become impure or dirty when you are on your period.",,
Should I eat food alone and separately when I am on my period?,Menstruation is a natural and absolutely normal part of life. There is no need to isolate yourself from others and eat food alone when you are on your period. This is an old myth and there is nothing impure or dirty about menstruation.,,
Should I eat non-vegetarian food when I am on my period?,"If non-vegetarian food is a part of your usual diet, you can continue eating it while you are menstruating. Just remember to eat balanced meals throughout the day.",,
Does eating chocolate help during menstruation?,"Generally, eating dark chocolate helps boost moods and relieves cravings during menstruation.",,
Why am I getting rashes near my intimate area during/right after menstruation?,"These rashes are caused by wearing sanitary pads for a very long time, or due to the improper use of cloth pads during menses. It is a common, but easily preventable issue that is faced by many adolescent girls.",,
Why has the interval between my menstrual cycles gradually increased?,"A gradual increase in the interval between menstrual cycles can be caused due to several factors such as hormonal imbalance or polycystic ovarian syndrome (PCOS). You should consult a gynaecologist for a thorough, formal diagnosis and further treatment.",,
Why is there a significant decrease in my menstrual blood flow?,"A drastic decrease in menstrual blood flow can be the consequence of many factors such as hormonal imbalance, polycystic ovarian syndrome (PCOS), thyroid dysfunction, etc. You should consult a gynaecologist for a detailed examination and further treatment.",,
Why is there a significant increase in my menstrual blood flow?,"A drastic increase in menstrual blood flow can be the consequence of many factors such as polycystic ovarian syndrome (PCOS), uterine pathology, passage of blood clots, etc. You should consult a gynaecologist for a detailed examination and further treatment.",,
What are some causes of irregular menstrual bleeding?,"Irregular menstrual bleeding can be an indicator of cervical or uterine pathology. In such cases, it is best to visit a gynaecologist and undergo clinical tests to arrive at a formal diagnosis and begin treatment.",,
What is PCOS?,"Polycystic Ovarian Syndrome or PCOS is a hormonal condition whose exact causes have not yet been fully understood. It is a chronic condition that is characterized by hormonal imbalance, irregular periods, and enlarged ovaries with cysts. Although a specific cure doesnâ€™t exist, visiting a gynaecologist for a formal diagnosis and further medical advice is recommended.",,
What are some possible causes of PCOS?,"The hormonal imbalance that is observed in PCOS can be a result of several factors such as a change in peopleâ€™s lifestyle, sedentary occupation, lack of exercise, or changes in diet or eating habits, etc.",,
What are the effects or consequences of PCOS?,"Besides causing menstrual irregularities, PCOS can also lead to weight gain, hypertension, Type II diabetes, and infertility. A gynaecologist must always be consulted before taking any action in these cases.",,
What are some pathological conditions associated with menstruation and menstrual health?,"Some pathological conditions that are associated with menstruation and menstrual health are cervical cancer, uterine fibroids, uterine polyps, adenomyosis, etc. It is always recommended to visit a gynaecologist and undergo clinical tests such as pelvic USGs before arriving at a formal diagnosis and beginning treatment.",,
"Why am I experiencing extreme, continuous pain right before, during, and after the menstruation period?","If your pain is severe, constant and not reducing despite all efforts, there is a possibility that you may have endometriosis. In this case, you should visit a gynaecologist at the earliest for an expert opinion.",,
What is endometriosis and how does it affect menstrual health?,Endometriosis is a non-malignant condition wherein the tissue that usually lines the inside of the uterus starts growing on the outside. It leads to excessive pain through all stages of the menstruation period and menstrual irregularities.,,
What is cervical cancer and how does it affect menstrual health?,"Cervical cancer develops in the cervix, which is the entrance to the uterus from the vagina. It affects menstruation by causing irregular or heavy bleeding and spotting, even after menopause.",,
What are uterine fibroids and how do they affect menstrual health?,"Uterine fibroids are non-malignant growths in the uterus that can cause severe pain in the pelvic region and prolonged, heavy menstrual bleeding.",,
What are uterine polyps and how do they affect menstrual health?,"Uterine polyps are non-malignant growths in the inner lining of the uterus that can cause irregular menstrual bleeding, as well as bleeding after menopause.",,
What is adenomyosis and how does it affect menstrual health?,"Adenomyosis is a condition in which the endometrial tissue that usually lines the inside of the uterus starts growing into the uterine wall. It can cause extreme cramps, blood clots, and heavy menstrual bleeding.",,
Why does early menopause occur?,"Early menopause can occur due to a variety of reasons such as the follicles in the ovaries getting depleted, the after-effects of certain surgical procedures or radiation therapy, and a host of environmental and social factors.",,
Are there any side effects of contraceptives or birth control pills on menstruation?,"Prolonged use of oral contraceptives can decrease the menstrual blood flow. In rare cases, it can even lead to secondary amenorrhea. A gynaecologist should be consulted before starting any contraceptives to be fully aware of the side effects and risks involved.",,
Are there any side effects of painkillers for cramps during menstruation?,"Usually, analgesics and antispasmodic drugs are taken during menstruation to decrease pain. So, side effects like dryness of mouth, drowsiness, and hyperacidity can be experienced. However, these are mild and do not have any serious effects.",,
Is it safe for me to have sex while I am menstruating?,"It is safe to have sex during the menstruation period, however, extra care must be taken to ensure proper hygiene and the intimate area must be cleaned thoroughly to prevent any infections.",,
When is the best time to try and get pregnant?,"If you have a regular menstrual cycle, ovulation happens on the 14th day of the cycle, with day 1 being the first day of menstruation. One week before and one week after ovulation is known as the fertile period when you have greater chances of becoming pregnant.",,
When should I avoid having sex to not get pregnant?,"Avoiding having sex in the fertile period, which is one week before and one week after ovulation, can prevent pregnancy to some extent. However, it is important to note that this is not the most reliable method of contraception. You should visit a gynaecologist for specific recommendations and other contraceptive measures.",,
What are period panties? Are they safe to use?,"Period panties refer to multi-layer, highly absorbent underwear that can be worn when you are on your period. It is another alternative to using a sanitary pad. However, you must ensure that you change these panties at regular intervals to avoid the risk of infections and maintain good hygiene.",,
